date,ticker,sentiment
2024-08-04,NVDA,0.02247715247715248
2024-08-03,NVDA,-0.0014643658810325603
2024-08-02,NVDA,0.06144520602853936
2024-08-01,NVDA,0.16507395382395382
2024-07-31,NVDA,0.16219227994227994
2024-07-30,NVDA,0.0622025197025197
2024-07-18,NVDA,0.19375
2024-07-17,NVDA,0.03588984052346121
2024-07-16,NVDA,0.03495851370851371
2024-07-15,NVDA,0.26025252525252524
2024-05-28,NVDA,0.0674009309431116
2024-05-27,NVDA,0.30277777777777776
2024-04-07,NVDA,0.03699945887445887
2024-04-06,NVDA,0.07256944444444445
2024-04-05,NVDA,0.1684439620585934
2024-04-04,NVDA,0.07892817059483727
2024-02-16,NVDA,0.13232081528096537
2024-02-15,NVDA,0.013503907358074023
2023-12-27,NVDA,0.09661578187893977
2023-12-26,NVDA,0.11088474025974025
2023-12-25,NVDA,0.28847402597402594
2023-12-24,NVDA,0.21553030303030304
2023-11-06,NVDA,0.10202958972845337
2023-11-04,NVDA,-0.13333333333333333
2023-11-03,NVDA,0.09023242435174252
2023-09-16,NVDA,0.02454545454545454
2023-09-15,NVDA,0.0710864357864358
2023-09-14,NVDA,0.15809364654952887
2023-09-13,NVDA,0.0
2023-07-27,NVDA,0.12584016740834925
2023-07-26,NVDA,0.11267992424242423
2023-07-25,NVDA,-0.00555555555555556
2023-06-06,NVDA,-0.018171390241702747
2023-06-05,NVDA,0.19598587061087064
2023-06-04,NVDA,0.12694128787878786
2023-06-03,NVDA,0.18938888888888888
2023-04-16,NVDA,-0.095
2023-04-15,NVDA,0.2654320987654321
2023-04-14,NVDA,0.12936507936507935
2023-04-13,NVDA,0.20400778619528617
2023-04-12,NVDA,0.04495964105339105
2023-04-11,NVDA,-0.005899027872712078
2023-04-10,NVDA,-0.05
2023-02-24,NVDA,-0.019100572047000615
2023-02-23,NVDA,0.12424316365756291
2023-02-22,NVDA,0.08134646747927998
2023-01-04,NVDA,0.06500438054009482
2023-01-03,NVDA,0.1310953216374269
2023-01-02,NVDA,0.3021212121212121
2023-01-01,NVDA,0.1
2022-12-31,NVDA,0.03833333333333333
2022-12-30,NVDA,0.08672438672438673
2022-12-29,NVDA,0.3958333333333333
2022-12-28,NVDA,0.274
2022-11-14,NVDA,0.09160178170594836
2022-11-13,NVDA,0.5
2022-11-12,NVDA,0.16666666666666666
2022-11-11,NVDA,0.14696336996336995
2022-11-10,NVDA,0.2058333333333333
2022-11-09,NVDA,0.06914381914381913
2022-11-08,NVDA,0.09225589225589224
2022-09-24,NVDA,0.3394097222222222
2022-09-23,NVDA,0.13078703703703706
2022-09-22,NVDA,0.2620748299319728
2022-09-21,NVDA,0.1626483084816418
2022-09-20,NVDA,0.12676682794329852
